Assembly	contigs	largest_contig	total_length	gc	n50	L90	Status
GCF_000746665.1_ASM74666v1_genomic	3	3315989	5127345	46.68	3315989	2	OK
GCF_001433435.1_ASM143343v1_genomic	2	3222762	5060705	46.73	3222762	2	OK
GCF_001558515.2_ASM155851v2_genomic	2	3236438	4978797	46.86	3236438	2	OK
GCF_001653775.1_ASM165377v1_genomic	2	3234424	5072369	46.75	3234424	2	OK
GCF_001675245.1_ASM167524v1_genomic	3	3253417	5229231	46.6	3253417	2	OK
GCF_002117205.1_ASM211720v1_genomic	3	3260504	6067960	45.35	3260504	3	REVISAR
GCF_002204915.1_ASM220491v1_genomic	3	3224939	5117890	46.84	3224939	2	OK
GCF_002215135.1_ASM221513v1_genomic	3	3394464	5163135	46.55	3394464	2	OK
GCF_002850455.1_ASM285045v1_genomic	2	3303590	5074562	46.81	3303590	2	OK
GCF_002863725.1_ASM286372v1_genomic	3	3311092	5120766	46.66	3311092	2	OK
GCF_003522555.1_ASM352255v1_genomic	3	3264901	6019009	45.39	3264901	3	REVISAR
GCF_004319645.1_ASM431964v1_genomic	2	3217678	5018260	46.88	3217678	2	OK
GCF_008693685.1_ASM869368v1_genomic	2	3249353	4974815	46.72	3249353	2	OK
GCF_009665475.1_ASM966547v1_genomic	2	3294783	5079985	46.8	3294783	2	OK
GCF_009764095.1_ASM976409v1_genomic	2	3225605	4996741	46.81	3225605	2	OK
GCF_009764115.1_ASM976411v1_genomic	2	3472667	5226423	46.46	3472667	2	OK
GCF_014107515.1_ASM1410751v1_genomic	3	3400045	5356494	46.58	3400045	2	OK
GCF_014211935.1_ASM1421193v1_genomic	2	3260230	5032819	46.77	3260230	2	OK
GCF_025994915.1_ASM2599491v1_genomic	3	3292876	5385758	46.7	3292876	2	OK
GCF_029990625.1_ASM2999062v1_genomic	2	3273700	5018425	46.89	3273700	2	OK
GCF_030220165.1_ASM3022016v1_genomic	2	3264146	5080799	46.81	3264146	2	OK
GCF_031883075.1_ASM3188307v1_genomic	5	3216867	5239895	46.8	3216867	2	OK
GCF_045348105.1_ASM4534810v1_genomic	2	3302724	5113765	46.69	3302724	2	OK
GCF_046532655.1_ASM4653265v1_genomic	2	3257674	5046534	46.79	3257674	2	OK
GCF_046581405.1_NHRI_VV7356_1.0_genomic	5	5193938	5323145	46.37	5193938	1	OK
