All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCF_001469735.1_ASM146973v1_genomic  GCF_001679745.1_ASM167974v1_genomic  GCF_002119505.2_ASM211950v2_genomic  GCF_002119545.1_ASM211954v1_genomic  GCF_002119565.1_ASM211956v1_genomic  GCF_002119585.1_ASM211958v1_genomic  GCF_002149065.1_ASM214906v1_genomic  GCF_002149085.1_ASM214908v1_genomic  GCF_002149105.1_ASM214910v1_genomic  GCF_002953515.1_ASM295351v1_genomic  GCF_002953535.1_ASM295353v1_genomic  GCF_002953975.1_ASM295397v1_genomic  GCF_003613035.1_ASM361303v1_genomic  GCF_003613065.1_ASM361306v1_genomic  GCF_009665435.1_ASM966543v1_genomic  GCF_009763085.1_ASM976308v1_genomic  GCF_009763745.1_ASM976374v1_genomic  GCF_009763845.1_ASM976384v1_genomic  GCF_011801435.1_ASM1180143v1_genomic  GCF_012151155.1_ASM1215115v1_genomic  GCF_012151295.1_ASM1215129v1_genomic  GCF_012151455.1_ASM1215145v1_genomic  GCF_012151595.1_ASM1215159v1_genomic  GCF_013368735.1_ASM1336873v1_genomic  GCF_023650915.1_ASM2365091v1_genomic
# contigs (>= 0 bp)         5                                    2                                    3                                    3                                    4                                    2                                    2                                    3                                    3                                    3                                    2                                    2                                    4                                    3                                    2                                    4                                    3                                    3                                    2                                     2                                     2                                     2                                     2                                     5                                     3                                   
# contigs (>= 1000 bp)      5                                    2                                    3                                    3                                    4                                    2                                    2                                    3                                    3                                    3                                    2                                    2                                    4                                    3                                    2                                    4                                    3                                    3                                    2                                     2                                     2                                     2                                     2                                     5                                     3                                   
# contigs (>= 5000 bp)      5                                    2                                    3                                    3                                    4                                    2                                    2                                    3                                    3                                    3                                    2                                    2                                    4                                    3                                    2                                    4                                    3                                    3                                    2                                     2                                     2                                     2                                     2                                     5                                     3                                   
# contigs (>= 10000 bp)     5                                    2                                    2                                    3                                    4                                    2                                    2                                    3                                    3                                    3                                    2                                    2                                    4                                    3                                    2                                    4                                    3                                    3                                    2                                     2                                     2                                     2                                     2                                     5                                     3                                   
# contigs (>= 25000 bp)     5                                    2                                    2                                    3                                    4                                    2                                    2                                    3                                    3                                    3                                    2                                    2                                    3                                    3                                    2                                    4                                    3                                    3                                    2                                     2                                     2                                     2                                     2                                     5                                     3                                   
# contigs (>= 50000 bp)     5                                    2                                    2                                    3                                    3                                    2                                    2                                    3                                    3                                    3                                    2                                    2                                    3                                    3                                    2                                    4                                    3                                    3                                    2                                     2                                     2                                     2                                     2                                     4                                     2                                   
Total length (>= 0 bp)      5724939                              5406094                              5361115                              5666255                              5671999                              5389178                              5362829                              5655141                              5674090                              5446027                              5268677                              5178268                              5644206                              5638198                              5137878                              5418945                              5226922                              5344305                              5246686                               5185395                               5185395                               5185324                               5185324                               5623485                               5150420                             
Total length (>= 1000 bp)   5724939                              5406094                              5361115                              5666255                              5671999                              5389178                              5362829                              5655141                              5674090                              5446027                              5268677                              5178268                              5644206                              5638198                              5137878                              5418945                              5226922                              5344305                              5246686                               5185395                               5185395                               5185324                               5185324                               5623485                               5150420                             
Total length (>= 5000 bp)   5724939                              5406094                              5361115                              5666255                              5671999                              5389178                              5362829                              5655141                              5674090                              5446027                              5268677                              5178268                              5644206                              5638198                              5137878                              5418945                              5226922                              5344305                              5246686                               5185395                               5185395                               5185324                               5185324                               5623485                               5150420                             
Total length (>= 10000 bp)  5724939                              5406094                              5352051                              5666255                              5671999                              5389178                              5362829                              5655141                              5674090                              5446027                              5268677                              5178268                              5644206                              5638198                              5137878                              5418945                              5226922                              5344305                              5246686                               5185395                               5185395                               5185324                               5185324                               5623485                               5150420                             
Total length (>= 25000 bp)  5724939                              5406094                              5352051                              5666255                              5671999                              5389178                              5362829                              5655141                              5674090                              5446027                              5268677                              5178268                              5624516                              5638198                              5137878                              5418945                              5226922                              5344305                              5246686                               5185395                               5185395                               5185324                               5185324                               5623485                               5150420                             
Total length (>= 50000 bp)  5724939                              5406094                              5352051                              5666255                              5642311                              5389178                              5362829                              5655141                              5674090                              5446027                              5268677                              5178268                              5624516                              5638198                              5137878                              5418945                              5226922                              5344305                              5246686                               5185395                               5185395                               5185324                               5185324                               5584763                               5114196                             
# contigs                   5                                    2                                    3                                    3                                    4                                    2                                    2                                    3                                    3                                    3                                    2                                    2                                    4                                    3                                    2                                    4                                    3                                    3                                    2                                     2                                     2                                     2                                     2                                     5                                     3                                   
Largest contig              3362673                              3535128                              3468303                              3470916                              3471297                              3494647                              3465619                              3468139                              3476174                              3418310                              3434696                              3372141                              3473127                              3473579                              3294888                              3341568                              3256900                              3333610                              3416391                               3426062                               3426062                               3425997                               3425997                               3336177                               3294375                             
Total length                5724939                              5406094                              5361115                              5666255                              5671999                              5389178                              5362829                              5655141                              5674090                              5446027                              5268677                              5178268                              5644206                              5638198                              5137878                              5418945                              5226922                              5344305                              5246686                               5185395                               5185395                               5185324                               5185324                               5623485                               5150420                             
GC (%)                      44.51                                44.71                                44.60                                44.31                                44.31                                44.60                                44.61                                44.32                                44.31                                44.47                                44.55                                44.68                                44.30                                44.32                                44.73                                44.83                                44.61                                44.65                                44.59                                 44.96                                 44.96                                 44.96                                 44.96                                 44.46                                 44.71                               
N50                         3362673                              3535128                              3468303                              3470916                              3471297                              3494647                              3465619                              3468139                              3476174                              3418310                              3434696                              3372141                              3473127                              3473579                              3294888                              3341568                              3256900                              3333610                              3416391                               3426062                               3426062                               3425997                               3425997                               3336177                               3294375                             
N90                         1851538                              1870966                              1883748                              1900618                              1879729                              1894531                              1897210                              1886577                              1903830                              1810594                              1833981                              1806127                              1870775                              1875554                              1842990                              1808353                              1827577                              1853370                              1830295                               1759333                               1759333                               1759327                               1759327                               1860661                               1819821                             
auN                         2592794.6                            2959187.1                            2905685.5                            2778990.2                            2762520.3                            2932136.5                            2910762.4                            2772241.4                            2783678.3                            2756181.0                            2877500.9                            2825931.3                            2771256.4                            2778726.9                            2774082.8                            2670708.0                            2672266.0                            2726769.4                            2863084.9                             2860563.8                             2860563.8                             2860513.0                             2860513.0                             2610368.8                             2750449.0                           
L50                         1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                     1                                     1                                     1                                     1                                     1                                     1                                   
L90                         2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                     2                                     2                                     2                                     2                                     2                                     2                                   
# N's per 100 kbp           0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                  0.00                                
