All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                              # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N90      auN        L50  L90  # N's per 100 kbp
GCF_001469735.1_ASM146973v1_genomic   5                    5                       5                       5                        5                        5                        5724939                 5724939                    5724939                    5724939                     5724939                     5724939                     5          3362673         5724939       44.51   3362673  1851538  2592794.6  1    2    0.00             
GCF_001679745.1_ASM167974v1_genomic   2                    2                       2                       2                        2                        2                        5406094                 5406094                    5406094                    5406094                     5406094                     5406094                     2          3535128         5406094       44.71   3535128  1870966  2959187.1  1    2    0.00             
GCF_002119505.2_ASM211950v2_genomic   3                    3                       3                       2                        2                        2                        5361115                 5361115                    5361115                    5352051                     5352051                     5352051                     3          3468303         5361115       44.60   3468303  1883748  2905685.5  1    2    0.00             
GCF_002119545.1_ASM211954v1_genomic   3                    3                       3                       3                        3                        3                        5666255                 5666255                    5666255                    5666255                     5666255                     5666255                     3          3470916         5666255       44.31   3470916  1900618  2778990.2  1    2    0.00             
GCF_002119565.1_ASM211956v1_genomic   4                    4                       4                       4                        4                        3                        5671999                 5671999                    5671999                    5671999                     5671999                     5642311                     4          3471297         5671999       44.31   3471297  1879729  2762520.3  1    2    0.00             
GCF_002119585.1_ASM211958v1_genomic   2                    2                       2                       2                        2                        2                        5389178                 5389178                    5389178                    5389178                     5389178                     5389178                     2          3494647         5389178       44.60   3494647  1894531  2932136.5  1    2    0.00             
GCF_002149065.1_ASM214906v1_genomic   2                    2                       2                       2                        2                        2                        5362829                 5362829                    5362829                    5362829                     5362829                     5362829                     2          3465619         5362829       44.61   3465619  1897210  2910762.4  1    2    0.00             
GCF_002149085.1_ASM214908v1_genomic   3                    3                       3                       3                        3                        3                        5655141                 5655141                    5655141                    5655141                     5655141                     5655141                     3          3468139         5655141       44.32   3468139  1886577  2772241.4  1    2    0.00             
GCF_002149105.1_ASM214910v1_genomic   3                    3                       3                       3                        3                        3                        5674090                 5674090                    5674090                    5674090                     5674090                     5674090                     3          3476174         5674090       44.31   3476174  1903830  2783678.3  1    2    0.00             
GCF_002953515.1_ASM295351v1_genomic   3                    3                       3                       3                        3                        3                        5446027                 5446027                    5446027                    5446027                     5446027                     5446027                     3          3418310         5446027       44.47   3418310  1810594  2756181.0  1    2    0.00             
GCF_002953535.1_ASM295353v1_genomic   2                    2                       2                       2                        2                        2                        5268677                 5268677                    5268677                    5268677                     5268677                     5268677                     2          3434696         5268677       44.55   3434696  1833981  2877500.9  1    2    0.00             
GCF_002953975.1_ASM295397v1_genomic   2                    2                       2                       2                        2                        2                        5178268                 5178268                    5178268                    5178268                     5178268                     5178268                     2          3372141         5178268       44.68   3372141  1806127  2825931.3  1    2    0.00             
GCF_003613035.1_ASM361303v1_genomic   4                    4                       4                       4                        3                        3                        5644206                 5644206                    5644206                    5644206                     5624516                     5624516                     4          3473127         5644206       44.30   3473127  1870775  2771256.4  1    2    0.00             
GCF_003613065.1_ASM361306v1_genomic   3                    3                       3                       3                        3                        3                        5638198                 5638198                    5638198                    5638198                     5638198                     5638198                     3          3473579         5638198       44.32   3473579  1875554  2778726.9  1    2    0.00             
GCF_009665435.1_ASM966543v1_genomic   2                    2                       2                       2                        2                        2                        5137878                 5137878                    5137878                    5137878                     5137878                     5137878                     2          3294888         5137878       44.73   3294888  1842990  2774082.8  1    2    0.00             
GCF_009763085.1_ASM976308v1_genomic   4                    4                       4                       4                        4                        4                        5418945                 5418945                    5418945                    5418945                     5418945                     5418945                     4          3341568         5418945       44.83   3341568  1808353  2670708.0  1    2    0.00             
GCF_009763745.1_ASM976374v1_genomic   3                    3                       3                       3                        3                        3                        5226922                 5226922                    5226922                    5226922                     5226922                     5226922                     3          3256900         5226922       44.61   3256900  1827577  2672266.0  1    2    0.00             
GCF_009763845.1_ASM976384v1_genomic   3                    3                       3                       3                        3                        3                        5344305                 5344305                    5344305                    5344305                     5344305                     5344305                     3          3333610         5344305       44.65   3333610  1853370  2726769.4  1    2    0.00             
GCF_011801435.1_ASM1180143v1_genomic  2                    2                       2                       2                        2                        2                        5246686                 5246686                    5246686                    5246686                     5246686                     5246686                     2          3416391         5246686       44.59   3416391  1830295  2863084.9  1    2    0.00             
GCF_012151155.1_ASM1215115v1_genomic  2                    2                       2                       2                        2                        2                        5185395                 5185395                    5185395                    5185395                     5185395                     5185395                     2          3426062         5185395       44.96   3426062  1759333  2860563.8  1    2    0.00             
GCF_012151295.1_ASM1215129v1_genomic  2                    2                       2                       2                        2                        2                        5185395                 5185395                    5185395                    5185395                     5185395                     5185395                     2          3426062         5185395       44.96   3426062  1759333  2860563.8  1    2    0.00             
GCF_012151455.1_ASM1215145v1_genomic  2                    2                       2                       2                        2                        2                        5185324                 5185324                    5185324                    5185324                     5185324                     5185324                     2          3425997         5185324       44.96   3425997  1759327  2860513.0  1    2    0.00             
GCF_012151595.1_ASM1215159v1_genomic  2                    2                       2                       2                        2                        2                        5185324                 5185324                    5185324                    5185324                     5185324                     5185324                     2          3425997         5185324       44.96   3425997  1759327  2860513.0  1    2    0.00             
GCF_013368735.1_ASM1336873v1_genomic  5                    5                       5                       5                        5                        4                        5623485                 5623485                    5623485                    5623485                     5623485                     5584763                     5          3336177         5623485       44.46   3336177  1860661  2610368.8  1    2    0.00             
GCF_023650915.1_ASM2365091v1_genomic  3                    3                       3                       3                        3                        2                        5150420                 5150420                    5150420                    5150420                     5150420                     5114196                     3          3294375         5150420       44.71   3294375  1819821  2750449.0  1    2    0.00             
