Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	NZ_CP026041.1	2639419	2641017	-	tet(35)	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	533	533	100.00	99.81	533	WP_005480402.1	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	NA	NA
NA	NZ_CP026041.1	3109082	3109543	-	tet(34)	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	154	154	100.00	92.21	154	WP_005592781.1	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA
NA	NZ_CP026042.1	967271	968119	+	blaCARB-30	carbenicillin-hydrolyzing class A beta-lactamase CARB-30	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	283	283	100.00	100.00	283	WP_005498292.1	carbenicillin-hydrolyzing class A beta-lactamase CARB-30	NA	NA
NA	NZ_CP009982.1	2081630	2083228	-	tet(35)	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	533	533	100.00	99.25	533	WP_005480402.1	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	NA	NA
NA	NZ_CP009982.1	2553486	2553947	-	tet(34)	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	154	154	100.00	92.21	154	WP_005592781.1	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA
NA	NZ_CP009983.1	474932	475780	-	blaCARB-18	carbenicillin-hydrolyzing class A beta-lactamase CARB-18	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	283	283	100.00	100.00	283	WP_005459715.1	carbenicillin-hydrolyzing class A beta-lactamase CARB-18	NA	NA
NA	NZ_CP009765.1	679495	679956	+	tet(34)	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	154	154	100.00	92.21	154	WP_005592781.1	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA
NA	NZ_CP009765.1	2166559	2168157	-	tet(35)	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	533	533	100.00	99.81	533	WP_005480402.1	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	NA	NA
NA	NZ_CP009766.1	1260050	1260898	+	blaCARB-18	carbenicillin-hydrolyzing class A beta-lactamase CARB-18	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	283	283	100.00	100.00	283	WP_005459715.1	carbenicillin-hydrolyzing class A beta-lactamase CARB-18	NA	NA
NA	NZ_CP009847.1	724167	724628	+	tet(34)	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	154	154	100.00	92.21	154	WP_005592781.1	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA
