All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                             # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N90      auN        L50  L90  # N's per 100 kbp
GCF_001188185.2_ASM118818v2_genomic  2                    2                       2                       2                        2                        2                        5149217                 5149217                    5149217                    5149217                     5149217                     5149217                     2          3316147         5149217       45.33   3316147  1833070  2788186.3  1    2    0.00             
GCF_001244315.1_ASM124431v1_genomic  2                    2                       2                       2                        2                        2                        5038168                 5038168                    5038168                    5038168                     5038168                     5038168                     2          3266132         5038168       45.42   3266132  1772036  2740625.1  1    2    0.00             
GCF_001304775.1_ASM130477v1_genomic  2                    2                       2                       2                        2                        2                        5094100                 5094100                    5094100                    5094100                     5094100                     5094100                     2          3376731         5094100       45.37   3376731  1717369  2817311.9  1    2    0.00             
GCF_001433415.1_ASM143341v1_genomic  3                    3                       3                       3                        3                        3                        5171661                 5171661                    5171661                    5171661                     5171661                     5171661                     3          3348850         5171661       45.48   3348850  1758762  2767417.0  1    2    0.00             
GCF_001558495.2_ASM155849v2_genomic  2                    2                       2                       2                        2                        2                        5152461                 5152461                    5152461                    5152461                     5152461                     5152461                     2          3286802         5152461       45.33   3286802  1865659  2772219.1  1    2    0.00             
GCF_001636035.1_ASM163603v1_genomic  3                    3                       3                       3                        3                        3                        5289960                 5289960                    5289960                    5289960                     5289960                     5289960                     3          3241330         5289960       45.32   3241330  1997247  2740636.2  1    2    0.00             
GCF_001682175.1_ASM168217v1_genomic  2                    2                       2                       2                        2                        2                        5257288                 5257288                    5257288                    5257288                     5257288                     5257288                     2          3369172         5257288       45.29   3369172  1888116  2837261.7  1    2    0.00             
GCF_001700835.1_ASM170083v1_genomic  5                    5                       5                       4                        4                        4                        5443401                 5443401                    5443401                    5435759                     5435759                     5435759                     5          3416467         5443401       45.23   3416467  1843316  2771363.6  1    2    0.00             
GCF_001758605.1_ASM175860v1_genomic  2                    2                       2                       2                        2                        2                        5015214                 5015214                    5015214                    5015214                     5015214                     5015214                     2          3253462         5015214       45.44   3253462  1761752  2729451.8  1    2    0.00             
GCF_001879585.1_ASM187958v1_genomic  3                    3                       3                       3                        3                        3                        5339691                 5339691                    5339691                    5339691                     5339691                     5339691                     3          3358191         5339691       45.25   3358191  1879955  2775814.0  1    2    0.00             
