file                                                                       format  type  num_seqs    sum_len    min_len      avg_len    max_len
data/Genome_NCBI/V_alginolyticus/GCF_001469735.1_ASM146973v1_genomic.fna   FASTA   DNA          5  5,724,939     95,866  1,144,987.8  3,362,673
data/Genome_NCBI/V_alginolyticus/GCF_001679745.1_ASM167974v1_genomic.fna   FASTA   DNA          2  5,406,094  1,870,966    2,703,047  3,535,128
data/Genome_NCBI/V_alginolyticus/GCF_002119505.2_ASM211950v2_genomic.fna   FASTA   DNA          3  5,361,115      9,064  1,787,038.3  3,468,303
data/Genome_NCBI/V_alginolyticus/GCF_002119545.1_ASM211954v1_genomic.fna   FASTA   DNA          3  5,666,255    294,721  1,888,751.7  3,470,916
data/Genome_NCBI/V_alginolyticus/GCF_002119565.1_ASM211956v1_genomic.fna   FASTA   DNA          4  5,671,999     29,688  1,417,999.8  3,471,297
data/Genome_NCBI/V_alginolyticus/GCF_002119585.1_ASM211958v1_genomic.fna   FASTA   DNA          2  5,389,178  1,894,531    2,694,589  3,494,647
data/Genome_NCBI/V_alginolyticus/GCF_002149065.1_ASM214906v1_genomic.fna   FASTA   DNA          2  5,362,829  1,897,210  2,681,414.5  3,465,619
data/Genome_NCBI/V_alginolyticus/GCF_002149085.1_ASM214908v1_genomic.fna   FASTA   DNA          3  5,655,141    300,425    1,885,047  3,468,139
data/Genome_NCBI/V_alginolyticus/GCF_002149105.1_ASM214910v1_genomic.fna   FASTA   DNA          3  5,674,090    294,086  1,891,363.3  3,476,174
data/Genome_NCBI/V_alginolyticus/GCF_002953515.1_ASM295351v1_genomic.fna   FASTA   DNA          3  5,446,027    217,123  1,815,342.3  3,418,310
data/Genome_NCBI/V_alginolyticus/GCF_002953535.1_ASM295353v1_genomic.fna   FASTA   DNA          2  5,268,677  1,833,981  2,634,338.5  3,434,696
data/Genome_NCBI/V_alginolyticus/GCF_002953975.1_ASM295397v1_genomic.fna   FASTA   DNA          2  5,178,268  1,806,127    2,589,134  3,372,141
data/Genome_NCBI/V_alginolyticus/GCF_003613035.1_ASM361303v1_genomic.fna   FASTA   DNA          4  5,644,206     19,690  1,411,051.5  3,473,127
data/Genome_NCBI/V_alginolyticus/GCF_003613065.1_ASM361306v1_genomic.fna   FASTA   DNA          3  5,638,198    289,065  1,879,399.3  3,473,579
data/Genome_NCBI/V_alginolyticus/GCF_009665435.1_ASM966543v1_genomic.fna   FASTA   DNA          2  5,137,878  1,842,990    2,568,939  3,294,888
data/Genome_NCBI/V_alginolyticus/GCF_009763085.1_ASM976308v1_genomic.fna   FASTA   DNA          4  5,418,945    131,705  1,354,736.3  3,341,568
data/Genome_NCBI/V_alginolyticus/GCF_009763745.1_ASM976374v1_genomic.fna   FASTA   DNA          3  5,226,922    142,445  1,742,307.3  3,256,900
data/Genome_NCBI/V_alginolyticus/GCF_009763845.1_ASM976384v1_genomic.fna   FASTA   DNA          3  5,344,305    157,325    1,781,435  3,333,610
data/Genome_NCBI/V_alginolyticus/GCF_011801435.1_ASM1180143v1_genomic.fna  FASTA   DNA          2  5,246,686  1,830,295    2,623,343  3,416,391
data/Genome_NCBI/V_alginolyticus/GCF_012151155.1_ASM1215115v1_genomic.fna  FASTA   DNA          2  5,185,395  1,759,333  2,592,697.5  3,426,062
data/Genome_NCBI/V_alginolyticus/GCF_012151295.1_ASM1215129v1_genomic.fna  FASTA   DNA          2  5,185,395  1,759,333  2,592,697.5  3,426,062
data/Genome_NCBI/V_alginolyticus/GCF_012151455.1_ASM1215145v1_genomic.fna  FASTA   DNA          2  5,185,324  1,759,327    2,592,662  3,425,997
data/Genome_NCBI/V_alginolyticus/GCF_012151595.1_ASM1215159v1_genomic.fna  FASTA   DNA          2  5,185,324  1,759,327    2,592,662  3,425,997
data/Genome_NCBI/V_alginolyticus/GCF_013368735.1_ASM1336873v1_genomic.fna  FASTA   DNA          5  5,623,485     38,722    1,124,697  3,336,177
data/Genome_NCBI/V_alginolyticus/GCF_023650915.1_ASM2365091v1_genomic.fna  FASTA   DNA          3  5,150,420     36,224  1,716,806.7  3,294,375
