Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
NA	NZ_CP013484.1	205046	206644	+	tet(35)	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	533	533	100.00	96.06	533	WP_005480402.1	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	NA	NA
NA	NZ_CP013484.1	3090337	3090798	+	tet(34)	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	154	154	100.00	92.21	154	WP_005592781.1	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA
NA	NZ_CP013485.1	53841	54689	-	blaCARB-42	carbenicillin-hydrolyzing class A beta-lactamase CARB-42	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	283	283	100.00	100.00	283	WP_005375420.1	carbenicillin-hydrolyzing class A beta-lactamase CARB-42	NA	NA
NA	NZ_CP016224.1	527403	527864	+	tet(34)	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	154	154	100.00	92.21	154	WP_005592781.1	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA
NA	NZ_CP016224.1	1090060	1091658	+	tet(35)	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	533	533	100.00	96.25	533	WP_005480402.1	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	NA	NA
NA	NZ_CP016224.1	2546220	2547032	+	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	EXACTX	271	271	100.00	100.00	271	WP_001043260.1	sulfonamide-resistant dihydropteroate synthase Sul2	NA	NA
NA	NZ_CP016224.1	2547096	2547896	+	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	267	267	100.00	100.00	267	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NA	NA
NA	NZ_CP016224.1	2547899	2548732	+	aph(6)-Id	aminoglycoside O-phosphotransferase APH(6)-Id	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	278	278	100.00	100.00	278	WP_000480968.1	aminoglycoside O-phosphotransferase APH(6)-Id	NA	NA
NA	NZ_CP016224.1	2554284	2554754	-	dfrA31	trimethoprim-resistant dihydrofolate reductase DfrA31	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	157	157	100.00	100.00	157	WP_000703246.1	trimethoprim-resistant dihydrofolate reductase DfrA31	NA	NA
NA	NZ_CP016224.1	2554920	2555573	-	qnrVC5	quinolone resistance pentapeptide repeat protein QnrVC5	core	AMR	AMR	QUINOLONE	QUINOLONE	ALLELEX	218	218	100.00	100.00	218	WP_000361705.1	quinolone resistance pentapeptide repeat protein QnrVC5	NA	NA
NA	NZ_CP016225.1	1218487	1219335	+	blaCARB-42	carbenicillin-hydrolyzing class A beta-lactamase CARB-42	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	283	283	100.00	100.00	283	WP_005375420.1	carbenicillin-hydrolyzing class A beta-lactamase CARB-42	NA	NA
NA	NZ_CP017889.1	705126	705587	+	tet(34)	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	154	154	100.00	92.21	154	WP_005592781.1	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA
NA	NZ_CP017889.1	1204475	1206073	+	tet(35)	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	533	533	100.00	96.06	533	WP_005480402.1	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	NA	NA
NA	NZ_CP017890.1	506456	507304	-	blaCARB-42	carbenicillin-hydrolyzing class A beta-lactamase CARB-42	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	283	283	100.00	100.00	283	WP_005375420.1	carbenicillin-hydrolyzing class A beta-lactamase CARB-42	NA	NA
NA	NZ_CP017899.1	705127	705588	+	tet(34)	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	154	154	100.00	92.21	154	WP_005592781.1	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA
NA	NZ_CP017899.1	1185730	1187328	+	tet(35)	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	533	533	100.00	96.06	533	WP_005480402.1	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	NA	NA
NA	NZ_CP017900.1	515743	516591	-	blaCARB-42	carbenicillin-hydrolyzing class A beta-lactamase CARB-42	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	283	283	100.00	100.00	283	WP_005375420.1	carbenicillin-hydrolyzing class A beta-lactamase CARB-42	NA	NA
NA	NZ_CP017907.1	726878	727339	+	tet(34)	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	154	154	100.00	92.21	154	WP_005592781.1	oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)	NA	NA
NA	NZ_CP017907.1	1207481	1209079	+	tet(35)	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	533	533	100.00	96.06	533	WP_005480402.1	tetracycline efflux Na+/H+ antiporter family transporter Tet(35)	NA	NA
NA	NZ_CP017908.1	485562	486410	-	blaCARB-42	carbenicillin-hydrolyzing class A beta-lactamase CARB-42	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEX	283	283	100.00	100.00	283	WP_005375420.1	carbenicillin-hydrolyzing class A beta-lactamase CARB-42	NA	NA
