#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007634.1	98147	99362	floR	1-1216/1216	===============	0/0	100.00	99.92	card	AF231986:3308-4523
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007634.1	100316	101153	APH(6)-Id	1-838/838	===============	0/0	100.00	99.88	card	AF024602:3156-3993
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007634.1	101152	101956	APH(3'')-Ib	1-805/805	===============	0/0	100.00	99.63	card	AF313472:15594-16398
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007634.1	102017	102833	sul2	1-817/817	===============	0/0	100.00	100.00	card	AY055428:20269-21085
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007634.1	109324	110539	floR	1-1216/1216	===============	0/0	100.00	99.92	card	AF231986:3308-4523
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007634.1	111493	112330	APH(6)-Id	1-838/838	===============	0/0	100.00	99.88	card	AF024602:3156-3993
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007634.1	112329	113133	APH(3'')-Ib	1-805/805	===============	0/0	100.00	99.63	card	AF313472:15594-16398
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007634.1	113194	114010	sul2	1-817/817	===============	0/0	100.00	100.00	card	AY055428:20269-21085
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007635.1	40302	40932	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	37285	38345	TEM-4	1-1061/1061	===============	0/0	100.00	99.62	card	NG_050265:1-1062
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	38427	39227	AAC(3)-IIa	1-801/861	==============.	0/0	93.03	97.75	card	NC_020088.1:15618-16479
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	44422	45637	floR	1-1216/1216	===============	0/0	100.00	99.92	card	AF231986:3308-4523
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	48770	49607	APH(6)-Id	1-838/838	===============	0/0	100.00	99.88	card	AF024602:3156-3993
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	49606	50410	APH(3'')-Ib	1-805/805	===============	0/0	100.00	99.75	card	AF313472:15594-16398
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	50471	51287	sul2	1-817/817	===============	0/0	100.00	100.00	card	AY055428:20269-21085
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	79585	80772	CMY-59	1-1188/1188	===============	0/0	100.00	99.92	card	AB587082:1-1189
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	133382	133835	arr-3	1-454/454	===============	0/0	100.00	100.00	card	EU675686:1957-2410
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	134621	135426	aadA16	1-806/847	===============	0/0	95.16	99.63	card	EU675686:3197-4043
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	137871	138711	sul1	1-841/841	===============	0/0	100.00	100.00	card	JF969163:1054-1894
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	141155	142030	CTX-M-2	1-876/876	===============	0/0	100.00	100.00	card	DQ125241:1-877
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	143455	144295	sul1	1-841/841	===============	0/0	100.00	100.00	card	JF969163:1054-1894
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	149697	150935	Mrx	1-1239/1239	===============	0/0	100.00	100.00	card	AY522923.1:7745-8984
quality/checkM/input/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna	NZ_CP007636.1	150932	151837	mphA	1-906/906	===============	0/0	100.00	100.00	card	D16251.1:1626-2532
quality/checkM/input/V_cholerae/GCF_000788715.2_ASM78871v2_genomic.fna	NZ_CP012997.1	913341	913971	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_001250235.2_5174_7_8_v2_genomic.fna	NZ_LT907990.1	315307	315937	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_001854425.1_ASM185442v1_genomic.fna	NZ_CP013013.1	914538	915168	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_001887395.1_ASM188739v1_genomic.fna	NZ_CP013302.1	313959	314589	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_001887415.1_ASM188741v1_genomic.fna	NZ_CP013312.1	695612	696242	catB9	1-631/631	===============	0/0	100.00	99.68	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_001887435.1_ASM188743v1_genomic.fna	NZ_CP013304.1	314001	314631	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_001887455.1_ASM188745v1_genomic.fna	NZ_CP013306.1	314006	314636	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_001887495.1_ASM188749v1_genomic.fna	NZ_CP013310.1	444799	445429	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_001887655.1_ASM188765v1_genomic.fna	NZ_CP013314.1	313965	314595	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_002073335.2_ASM207333v2_genomic.fna	NZ_CP020407.2	868912	869542	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012666.1	313910	314540	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	934	1750	APH(3')-Ia	1-817/817	===============	0/0	100.00	100.00	card	BX664015:103018-103834
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	5470	6330	AAC(3)-IIa	1-861/861	===============	0/0	100.00	100.00	card	NC_020088.1:15618-16479
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	17504	18980	msrE	1-1477/1477	===============	0/0	100.00	100.00	card	NC_007682:20650-22126
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	19035	19919	mphD	1-885/885	===============	0/0	100.00	100.00	card	CP016215.1:74427-75312
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	23417	24196	aadA2	1-780/780	===============	0/0	100.00	99.87	card	AF156486:5013-5793
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	24701	25541	sul1	1-841/841	===============	0/0	100.00	100.00	card	JF969163:1054-1894
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	31693	32530	APH(6)-Id	1-838/838	===============	0/0	100.00	99.88	card	AF024602:3156-3993
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	32529	33333	APH(3'')-Ib	1-805/805	===============	0/0	100.00	99.75	card	AF313472:15594-16398
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	33394	34210	sul2	1-817/817	===============	0/0	100.00	100.00	card	AY055428:20269-21085
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	40701	41916	floR	1-1216/1216	===============	0/0	100.00	99.84	card	AF231986:3308-4523
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	44418	45234	sul2	1-817/817	===============	0/0	100.00	100.00	card	AY055428:20269-21085
quality/checkM/input/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna	NZ_CP012668.1	132830	133890	TEM-4	1-1061/1061	===============	0/0	100.00	99.25	card	NG_050265:1-1062
quality/checkM/input/V_cholerae/GCF_002749635.1_ASM274963v1_genomic.fna	NZ_CP024163.1	313491	314121	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_002892855.1_ASM289285v1_genomic.fna	NZ_CP025937.1	313332	313962	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_002997215.1_ASM299721v1_genomic.fna	NZ_CP024868.1	313982	314612	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_003063785.1_ASM306378v1_genomic.fna	NZ_CP028828.1	317618	318248	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
quality/checkM/input/V_cholerae/GCF_008369605.1_ASM836960v1_genomic.fna	NZ_CP043556.1	955487	956117	catB9	1-631/631	===============	0/0	100.00	100.00	card	AF462019:27-657
