Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
blaCARB-30	100.00	852/852	100.0	1..852	NZ_CP026042.1 Vibrio parahaemolyticus strain FDAARGOS_51 chromosome 2, complete sequence	967271..968122	Ampicillin, Amoxicillin, Piperacillin	NG_048734
blaCARB-45	99.18	852/852	100.0	1..852	NZ_CP009983.1 Vibrio parahaemolyticus strain FORC_008 chromosome 2, complete sequence	474929..475780	Ampicillin, Amoxicillin, Piperacillin	JTGR01000061
blaCARB-41	99.18	852/852	100.0	1..852	NZ_CP009983.1 Vibrio parahaemolyticus strain FORC_008 chromosome 2, complete sequence	474929..475780	Ampicillin, Amoxicillin, Piperacillin	BK008890
blaCARB-33	99.18	852/852	100.0	1..852	NZ_CP009983.1 Vibrio parahaemolyticus strain FORC_008 chromosome 2, complete sequence	474929..475780	Ampicillin, Amoxicillin, Piperacillin	BK008903
blaCARB-44	99.53	852/852	100.0	1..852	NZ_CP009766.1 Vibrio parahaemolyticus strain FORC_006 chromosome 2, complete sequence	1260050..1260901	Ampicillin, Amoxicillin, Piperacillin	JTGS01000066
blaCARB-26	99.53	852/852	100.0	1..852	NZ_CP009848.1 Vibrio parahaemolyticus strain FORC_004 chromosome 2, complete sequence	490399..491250	Ampicillin, Amoxicillin, Piperacillin	BK008904
blaCARB-29	99.53	852/852	100.0	1..852	NZ_CP014047.2 Vibrio parahaemolyticus strain ATCC 17802 chromosome 2, complete sequence	971635..972486	Ampicillin, Amoxicillin, Piperacillin	BK008905
blaCARB-33	99.06	852/852	100.0	1..852	NZ_CP011407.1 Vibrio parahaemolyticus strain FORC_014 chromosome 2, complete sequence	1479390..1480241	Ampicillin, Amoxicillin, Piperacillin	BK008903
blaCARB-41	99.18	852/852	100.0	1..852	NZ_CP011885.1 Vibrio parahaemolyticus strain MAVP-Q chromosome 2, complete sequence	1301763..1302614	Ampicillin, Amoxicillin, Piperacillin	BK008890
blaCARB-33	99.18	852/852	100.0	1..852	NZ_CP011885.1 Vibrio parahaemolyticus strain MAVP-Q chromosome 2, complete sequence	1301763..1302614	Ampicillin, Amoxicillin, Piperacillin	BK008903
