Assembly	contigs	largest_contig	total_length	gc	n50	L90	Status
GCF_001469735.1_ASM146973v1_genomic	5	3362673	5724939	44.51	3362673	2	OK
GCF_001679745.1_ASM167974v1_genomic	2	3535128	5406094	44.71	3535128	2	OK
GCF_002119505.2_ASM211950v2_genomic	3	3468303	5361115	44.6	3468303	2	OK
GCF_002119545.1_ASM211954v1_genomic	3	3470916	5666255	44.31	3470916	2	OK
GCF_002119565.1_ASM211956v1_genomic	4	3471297	5671999	44.31	3471297	2	OK
GCF_002119585.1_ASM211958v1_genomic	2	3494647	5389178	44.6	3494647	2	OK
GCF_002149065.1_ASM214906v1_genomic	2	3465619	5362829	44.61	3465619	2	OK
GCF_002149085.1_ASM214908v1_genomic	3	3468139	5655141	44.32	3468139	2	OK
GCF_002149105.1_ASM214910v1_genomic	3	3476174	5674090	44.31	3476174	2	OK
GCF_002953515.1_ASM295351v1_genomic	3	3418310	5446027	44.47	3418310	2	OK
GCF_002953535.1_ASM295353v1_genomic	2	3434696	5268677	44.55	3434696	2	OK
GCF_002953975.1_ASM295397v1_genomic	2	3372141	5178268	44.68	3372141	2	OK
GCF_003613035.1_ASM361303v1_genomic	4	3473127	5644206	44.3	3473127	2	OK
GCF_003613065.1_ASM361306v1_genomic	3	3473579	5638198	44.32	3473579	2	OK
GCF_009665435.1_ASM966543v1_genomic	2	3294888	5137878	44.73	3294888	2	OK
GCF_009763085.1_ASM976308v1_genomic	4	3341568	5418945	44.83	3341568	2	OK
GCF_009763745.1_ASM976374v1_genomic	3	3256900	5226922	44.61	3256900	2	OK
GCF_009763845.1_ASM976384v1_genomic	3	3333610	5344305	44.65	3333610	2	OK
GCF_011801435.1_ASM1180143v1_genomic	2	3416391	5246686	44.59	3416391	2	OK
GCF_012151155.1_ASM1215115v1_genomic	2	3426062	5185395	44.96	3426062	2	OK
GCF_012151295.1_ASM1215129v1_genomic	2	3426062	5185395	44.96	3426062	2	OK
GCF_012151455.1_ASM1215145v1_genomic	2	3425997	5185324	44.96	3425997	2	OK
GCF_012151595.1_ASM1215159v1_genomic	2	3425997	5185324	44.96	3425997	2	OK
GCF_013368735.1_ASM1336873v1_genomic	5	3336177	5623485	44.46	3336177	2	OK
GCF_023650915.1_ASM2365091v1_genomic	3	3294375	5150420	44.71	3294375	2	OK
