Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
blaCARB-42	98.94	852/852	100.0	1..852	NZ_CP013485.1 Vibrio alginolyticus strain ATCC 33787 chromosome II, complete sequence	53838..54689	Ampicillin, Amoxicillin, Piperacillin	NG_048745
aph(6)-Id	100.00	837/837	100.0	1..837	NZ_CP016224.1 Vibrio alginolyticus strain ZJ-T chromosome 1, complete sequence	2547899..2548735	Streptomycin	M28829
aph(3'')-Ib	100.00	804/804	100.0	1..804	NZ_CP016224.1 Vibrio alginolyticus strain ZJ-T chromosome 1, complete sequence	2547096..2547899	Streptomycin	AF321551
blaCARB-42	99.41	852/852	100.0	1..852	NZ_CP016225.1 Vibrio alginolyticus strain ZJ-T chromosome 2, complete sequence	1218487..1219338	Ampicillin, Amoxicillin, Piperacillin	NG_048745
qnrVC5	100.00	657/657	100.0	1..657	NZ_CP016224.1 Vibrio alginolyticus strain ZJ-T chromosome 1, complete sequence	2554917..2555573	Ciprofloxacin	JN408080
sul2	100.00	816/816	100.0	1..816	NZ_CP016224.1 Vibrio alginolyticus strain ZJ-T chromosome 1, complete sequence	2546220..2547035	Sulfamethoxazole	AY034138
dfrA31	100.00	474/474	100.0	1..474	NZ_CP016224.1 Vibrio alginolyticus strain ZJ-T chromosome 1, complete sequence	2554281..2554754	Trimethoprim	AB200915
blaCARB-42	100.00	852/852	100.0	1..852	NZ_CP017890.1 Vibrio alginolyticus strain K01M1 chromosome 2, complete sequence	506453..507304	Ampicillin, Amoxicillin, Piperacillin	NG_048745
blaCARB-42	100.00	852/852	100.0	1..852	NZ_CP017900.1 Vibrio alginolyticus strain K04M5 chromosome 2, complete sequence	515740..516591	Ampicillin, Amoxicillin, Piperacillin	NG_048745
blaCARB-42	100.00	852/852	100.0	1..852	NZ_CP017908.1 Vibrio alginolyticus strain K06K5 chromosome 2, complete sequence	485559..486410	Ampicillin, Amoxicillin, Piperacillin	NG_048745
blaCARB-42	100.00	852/852	100.0	1..852	NZ_CP017912.1 Vibrio alginolyticus strain K10K4 chromosome 2, complete sequence	485553..486404	Ampicillin, Amoxicillin, Piperacillin	NG_048745
blaCARB-42	100.00	852/852	100.0	1..852	NZ_CP017918.1 Vibrio alginolyticus strain K09K1 chromosome I, complete sequence	1417143..1417994	Ampicillin, Amoxicillin, Piperacillin	NG_048745
blaCARB-42	100.00	852/852	100.0	1..852	NZ_CP017914.1 Vibrio alginolyticus strain K08M3 chromosome II, complete sequence	485571..486422	Ampicillin, Amoxicillin, Piperacillin	NG_048745
blaCARB-42	100.00	852/852	100.0	1..852	NZ_CP017897.1 Vibrio alginolyticus isolate K04M3 chromosome II, complete sequence	485566..486417	Ampicillin, Amoxicillin, Piperacillin	NG_048745
blaCARB-42	99.65	852/852	100.0	1..852	NZ_CP014054.1 Vibrio alginolyticus strain FDAARGOS_108 chromosome 2, complete sequence	1510758..1511609	Ampicillin, Amoxicillin, Piperacillin	NG_048745
qnrS5	97.10	656/657	99.84779299847793	1..656	NZ_CP014053.1 Vibrio alginolyticus strain FDAARGOS_108 chromosome 1, complete sequence	1701514..1702169	Ciprofloxacin	HQ631377
qnrS5	97.10	656/657	99.84779299847793	1..656	NZ_CP014053.1 Vibrio alginolyticus strain FDAARGOS_108 chromosome 1, complete sequence	1668007..1668662	Ciprofloxacin	HQ631377
blaCARB-42	99.53	852/852	100.0	1..852	NZ_CP014041.1 Vibrio alginolyticus strain FDAARGOS_110 chromosome 2, complete sequence	1831305..1832156	Ampicillin, Amoxicillin, Piperacillin	NG_048745
blaCARB-42	98.59	852/852	100.0	1..852	NZ_CP014044.1 Vibrio alginolyticus strain FDAARGOS_114 chromosome 2, complete sequence	623206..624057	Ampicillin, Amoxicillin, Piperacillin	NG_048745
qnrVC6	98.48	657/657	100.0	1..657	NZ_CP014045.1 Vibrio alginolyticus strain FDAARGOS_114 chromosome 1, complete sequence	1364276..1364932	Ciprofloxacin	KC202804
blaCARB-42	100.00	852/852	100.0	1..852	NZ_CP017892.1 Vibrio alginolyticus strain K04M1 chromosome 2, complete sequence	485565..486416	Ampicillin, Amoxicillin, Piperacillin	NG_048745
