All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCF_000765415.1_ASM76541v1_genomic  GCF_000788715.2_ASM78871v2_genomic  GCF_000969235.1_ASM96923v1_genomic  GCF_000969265.1_ASM96926v1_genomic  GCF_001045415.1_ASM104541v1_genomic  GCF_001250235.2_5174_7_8_v2_genomic  GCF_001854425.1_ASM185442v1_genomic  GCF_001887395.1_ASM188739v1_genomic  GCF_001887415.1_ASM188741v1_genomic  GCF_001887435.1_ASM188743v1_genomic  GCF_001887455.1_ASM188745v1_genomic  GCF_001887475.1_ASM188747v1_genomic  GCF_001887495.1_ASM188749v1_genomic  GCF_001887515.1_ASM188751v1_genomic  GCF_001887615.1_ASM188761v1_genomic  GCF_001887635.1_ASM188763v1_genomic  GCF_001887655.1_ASM188765v1_genomic  GCF_002073335.2_ASM207333v2_genomic  GCF_002313005.1_ASM231300v1_genomic  GCF_002313025.1_ASM231302v1_genomic  GCF_002749635.1_ASM274963v1_genomic  GCF_002892855.1_ASM289285v1_genomic  GCF_002997215.1_ASM299721v1_genomic  GCF_003063785.1_ASM306378v1_genomic  GCF_008369605.1_ASM836960v1_genomic
# contigs (>= 0 bp)         3                                   2                                   1                                   1                                   3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    3                                    2                                    2                                    2                                    2                                    2                                    3                                  
# contigs (>= 1000 bp)      3                                   2                                   1                                   1                                   3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    3                                    2                                    2                                    2                                    2                                    2                                    3                                  
# contigs (>= 5000 bp)      3                                   2                                   1                                   1                                   3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    3                                    2                                    2                                    2                                    2                                    2                                    3                                  
# contigs (>= 10000 bp)     3                                   2                                   1                                   1                                   3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    3                                    2                                    2                                    2                                    2                                    2                                    3                                  
# contigs (>= 25000 bp)     3                                   2                                   1                                   1                                   3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    3                                    2                                    2                                    2                                    2                                    2                                    3                                  
# contigs (>= 50000 bp)     3                                   2                                   1                                   1                                   3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    3                                    2                                    2                                    2                                    2                                    2                                    2                                  
Total length (>= 0 bp)      4258023                             4061813                             3928357                             4077462                             5000494                              4033501                              4050927                              4102038                              4110440                              4057520                              4099119                              4062508                              4110872                              4170245                              4076583                              4014863                              4066727                              4042269                              4264715                              4095733                              4063073                              4085463                              4085460                              4047835                              4138412                            
Total length (>= 1000 bp)   4258023                             4061813                             3928357                             4077462                             5000494                              4033501                              4050927                              4102038                              4110440                              4057520                              4099119                              4062508                              4110872                              4170245                              4076583                              4014863                              4066727                              4042269                              4264715                              4095733                              4063073                              4085463                              4085460                              4047835                              4138412                            
Total length (>= 5000 bp)   4258023                             4061813                             3928357                             4077462                             5000494                              4033501                              4050927                              4102038                              4110440                              4057520                              4099119                              4062508                              4110872                              4170245                              4076583                              4014863                              4066727                              4042269                              4264715                              4095733                              4063073                              4085463                              4085460                              4047835                              4138412                            
Total length (>= 10000 bp)  4258023                             4061813                             3928357                             4077462                             5000494                              4033501                              4050927                              4102038                              4110440                              4057520                              4099119                              4062508                              4110872                              4170245                              4076583                              4014863                              4066727                              4042269                              4264715                              4095733                              4063073                              4085463                              4085460                              4047835                              4138412                            
Total length (>= 25000 bp)  4258023                             4061813                             3928357                             4077462                             5000494                              4033501                              4050927                              4102038                              4110440                              4057520                              4099119                              4062508                              4110872                              4170245                              4076583                              4014863                              4066727                              4042269                              4264715                              4095733                              4063073                              4085463                              4085460                              4047835                              4138412                            
Total length (>= 50000 bp)  4258023                             4061813                             3928357                             4077462                             5000494                              4033501                              4050927                              4102038                              4110440                              4057520                              4099119                              4062508                              4110872                              4170245                              4076583                              4014863                              4066727                              4042269                              4264715                              4095733                              4063073                              4085463                              4085460                              4047835                              4089299                            
# contigs                   3                                   2                                   1                                   1                                   3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    3                                    2                                    2                                    2                                    2                                    2                                    3                                  
Largest contig              3043139                             2937102                             3928357                             4077462                             3053204                              2961182                              2925021                              2996195                              2951445                              2993255                              2999012                              2969901                              2996535                              2981414                              3008486                              2939488                              2961701                              2969957                              3026998                              3028272                              2992571                              3015092                              3015093                              2975504                              2948589                            
Total length                4258023                             4061813                             3928357                             4077462                             5000494                              4033501                              4050927                              4102038                              4110440                              4057520                              4099119                              4062508                              4110872                              4170245                              4076583                              4014863                              4066727                              4042269                              4264715                              4095733                              4063073                              4085463                              4085460                              4047835                              4138412                            
GC (%)                      47.75                               47.62                               47.77                               47.69                               45.67                                47.49                                47.61                                47.47                                47.53                                47.51                                47.47                                47.56                                47.48                                47.48                                47.47                                47.58                                47.60                                47.49                                47.66                                47.74                                47.50                                47.46                                47.46                                47.50                                47.42                              
N50                         3043139                             2937102                             3928357                             4077462                             3053204                              2961182                              2925021                              2996195                              2951445                              2993255                              2999012                              2969901                              2996535                              2981414                              3008486                              2939488                              2961701                              2969957                              3026998                              3028272                              2992571                              3015092                              3015093                              2975504                              2948589                            
N90                         1047617                             1124711                             3928357                             4077462                             896006                               1072319                              1125906                              1105843                              1158995                              1064265                              1100107                              1092607                              1114337                              1188831                              1068097                              1075375                              1105026                              1072312                              1057601                              1067461                              1070502                              1070371                              1070367                              1072331                              1140710                            
auN                         2439201.2                           2435253.2                           3928357.0                           4077462.0                           2245794.0                            2459021.8                            2424978.8                            2486586.7                            2446039.1                            2487291.6                            2489390.6                            2465004.9                            2486326.2                            2470394.1                            2500088.7                            2440188.1                            2457198.4                            2466559.6                            2418374.6                            2517230.6                            2486161.5                            2505584.8                            2505586.0                            2471325.5                            2415856.2                          
L50                         1                                   1                                   1                                   1                                   1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                  
L90                         2                                   2                                   1                                   1                                   3                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                  
