All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                                 # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  GC (%)  N50      N90      auN        L50  L90  # N's per 100 kbp
GCF_000746665.1_ASM74666v1_genomic       3                    3                       3                       2                        2                        2                        5127345                 5127345                    5127345                    5121626                     5121626                     5121626                     3          3315989         5127345       46.68   3315989  1805637  2780413.8  1    2    0.00             
GCF_001433435.1_ASM143343v1_genomic      2                    2                       2                       2                        2                        2                        5060705                 5060705                    5060705                    5060705                     5060705                     5060705                     2          3222762         5060705       46.73   3222762  1837943  2719824.5  1    2    0.00             
GCF_001558515.2_ASM155851v2_genomic      2                    2                       2                       2                        2                        2                        4978797                 4978797                    4978797                    4978797                     4978797                     4978797                     2          3236438         4978797       46.86   3236438  1742359  2713576.4  1    2    0.00             
GCF_001653775.1_ASM165377v1_genomic      2                    2                       2                       2                        2                        2                        5072369                 5072369                    5072369                    5072369                     5072369                     5072369                     2          3234424         5072369       46.75   3234424  1837945  2728417.5  1    2    0.00             
GCF_001675245.1_ASM167524v1_genomic      3                    3                       3                       3                        3                        3                        5229231                 5229231                    5229231                    5229231                     5229231                     5229231                     3          3253417         5229231       46.60   3253417  1905745  2719615.1  1    2    0.00             
GCF_002117205.1_ASM211720v1_genomic      3                    3                       3                       3                        3                        3                        6067960                 6067960                    6067960                    6067960                     6067960                     6067960                     3          3260504         6067960       45.35   3260504  925374   2476851.5  1    3    0.00             
GCF_002204915.1_ASM220491v1_genomic      3                    3                       3                       3                        3                        2                        5117890                 5117890                    5117890                    5117890                     5117890                     5077040                     3          3224939         5117890       46.84   3224939  1852101  2702711.2  1    2    0.00             
GCF_002215135.1_ASM221513v1_genomic      3                    3                       3                       3                        3                        3                        5163135                 5163135                    5163135                    5163135                     5163135                     5163135                     3          3394464         5163135       46.55   3394464  1700225  2792457.6  1    2    0.00             
GCF_002850455.1_ASM285045v1_genomic      2                    2                       2                       2                        2                        2                        5074562                 5074562                    5074562                    5074562                     5074562                     5074562                     2          3303590         5074562       46.81   3303590  1770972  2768721.5  1    2    0.00             
GCF_002863725.1_ASM286372v1_genomic      3                    3                       3                       3                        3                        2                        5120766                 5120766                    5120766                    5120766                     5120766                     5088174                     3          3311092         5120766       46.66   3311092  1777082  2757871.2  1    2    0.00             
GCF_003522555.1_ASM352255v1_genomic      3                    3                       3                       3                        3                        3                        6019009                 6019009                    6019009                    6019009                     6019009                     6019009                     3          3264901         6019009       45.39   3264901  889062   2480210.0  1    3    0.00             
