#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION
quality/checkM/input/V_parahaemolyticus/GCF_001188185.2_ASM118818v2_genomic.fna	NZ_CP026042.1	967172	968220	CARB-20	1-1050/1052	========/======	1/1	99.71	98.38	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001244315.1_ASM124431v1_genomic.fna	NZ_CP009983.1	474831	475880	CARB-20	1-1050/1052	===============	0/0	99.81	98.00	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001304775.1_ASM130477v1_genomic.fna	NZ_CP009766.1	1259950	1260998	CARB-20	1-1050/1052	========/======	1/1	99.71	98.76	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001433415.1_ASM143341v1_genomic.fna	NZ_CP009848.1	490301	491350	CARB-20	1-1050/1052	===============	0/0	99.81	98.57	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001558495.2_ASM155849v2_genomic.fna	NZ_CP014047.2	971535	972584	CARB-20	1-1050/1052	===============	0/0	99.81	98.48	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001636035.1_ASM163603v1_genomic.fna	NZ_CP011407.1	1479291	1480338	CARB-20	1-1050/1052	========/======	2/2	99.62	98.57	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001682175.1_ASM168217v1_genomic.fna	NZ_CP011885.1	1301663	1302712	CARB-20	1-1050/1052	===============	0/0	99.81	97.81	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001700835.1_ASM170083v1_genomic.fna	NZ_CP010883.1	2688786	2689602	sul2	1-817/817	===============	0/0	100.00	100.00	card	AY055428:20269-21085
quality/checkM/input/V_parahaemolyticus/GCF_001700835.1_ASM170083v1_genomic.fna	NZ_CP010883.1	2689663	2690467	APH(3'')-Ib	1-805/805	===============	0/0	100.00	99.75	card	AF313472:15594-16398
quality/checkM/input/V_parahaemolyticus/GCF_001700835.1_ASM170083v1_genomic.fna	NZ_CP010883.1	2690466	2691303	APH(6)-Id	1-838/838	===============	0/0	100.00	99.88	card	AF024602:3156-3993
quality/checkM/input/V_parahaemolyticus/GCF_001700835.1_ASM170083v1_genomic.fna	NZ_CP010884.1	1359196	1360245	CARB-20	1-1050/1052	===============	0/0	99.81	98.67	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001758605.1_ASM175860v1_genomic.fna	NZ_CP012951.1	1285019	1286067	CARB-20	1-1050/1052	========/======	1/1	99.71	98.57	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001879585.1_ASM187958v1_genomic.fna	NZ_CP013249.1	462015	463074	CARB-20	1-1050/1052	========/======	1/10	99.81	97.64	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001887055.1_ASM188705v1_genomic.fna	NZ_CP013827.1	474814	475863	CARB-20	1-1050/1052	===============	0/0	99.81	98.00	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_001996365.2_ASM199636v2_genomic.fna	NZ_CP043421.1	831761	832178	tet(D)	1-418/418	===============	0/0	100.00	100.00	card	BX664015:204138-204555
quality/checkM/input/V_parahaemolyticus/GCF_001996365.2_ASM199636v2_genomic.fna	NZ_CP043421.1	832980	834186	tet(A)	1-1207/1207	===============	0/0	100.00	99.92	card	NC_020418:458866-460072
quality/checkM/input/V_parahaemolyticus/GCF_001996365.2_ASM199636v2_genomic.fna	NZ_CP043422.1	299427	300476	CARB-20	1-1050/1052	===============	0/0	99.81	98.19	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_002073775.2_ASM207377v2_genomic.fna	NZ_CP020428.2	212870	213919	CARB-20	1-1050/1052	===============	0/0	99.81	98.38	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_002209725.2_ASM220972v2_genomic.fna	NZ_CP022472.1	1301665	1302714	CARB-20	1-1050/1052	===============	0/0	99.81	97.81	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_002220985.3_HGAP_genomic.fna	NZ_CP022553.2	1162590	1163639	CARB-20	1-1050/1052	===============	0/0	99.81	97.81	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_002290245.2_ASM229024v2_genomic.fna	NZ_CP023247.2	1152452	1153500	CARB-20	1-1050/1052	========/======	1/1	99.71	98.38	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_003047085.1_ASM304708v1_genomic.fna	NZ_CP028482.1	1684569	1685617	CARB-20	1-1050/1052	========/======	1/1	99.71	98.19	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_003076895.1_ASM307689v1_genomic.fna	NZ_CP028142.1	700603	701651	CARB-20	1-1050/1052	========/======	1/1	99.71	98.09	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_003085735.1_ASM308573v1_genomic.fna	NZ_CP020035.1	465859	466908	CARB-20	1-1050/1052	===============	0/0	99.81	98.29	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_003119375.1_ASM311937v1_genomic.fna	NZ_CP028343.1	1113377	1114425	CARB-20	1-1050/1052	========/======	1/1	99.71	98.09	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_003351885.1_ASM335188v1_genomic.fna	NZ_CP022244.1	505533	506582	CARB-20	1-1050/1052	===============	0/0	99.81	98.00	card	NG_048723.1:1-1053
quality/checkM/input/V_parahaemolyticus/GCF_003612695.1_ASM361269v1_genomic.fna	NZ_CP023473.1	1316312	1317371	CARB-20	1-1050/1052	========/======	1/10	99.81	97.64	card	NG_048723.1:1-1053
