All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    GCF_001188185.2_ASM118818v2_genomic  GCF_001244315.1_ASM124431v1_genomic  GCF_001304775.1_ASM130477v1_genomic  GCF_001433415.1_ASM143341v1_genomic  GCF_001558495.2_ASM155849v2_genomic  GCF_001636035.1_ASM163603v1_genomic  GCF_001682175.1_ASM168217v1_genomic  GCF_001700835.1_ASM170083v1_genomic  GCF_001758605.1_ASM175860v1_genomic  GCF_001879585.1_ASM187958v1_genomic  GCF_001887055.1_ASM188705v1_genomic  GCF_001996365.2_ASM199636v2_genomic  GCF_002073775.2_ASM207377v2_genomic  GCF_002209725.2_ASM220972v2_genomic  GCF_002220985.3_HGAP_genomic  GCF_002290245.2_ASM229024v2_genomic  GCF_003047085.1_ASM304708v1_genomic  GCF_003076895.1_ASM307689v1_genomic  GCF_003085735.1_ASM308573v1_genomic  GCF_003119375.1_ASM311937v1_genomic  GCF_003351885.1_ASM335188v1_genomic  GCF_003612695.1_ASM361269v1_genomic  GCF_003612715.1_ASM361271v1_genomic  GCF_003691525.1_ASM369152v1_genomic  GCF_004006515.1_ASM400651v1_genomic
# contigs (>= 0 bp)         2                                    2                                    2                                    3                                    2                                    3                                    2                                    5                                    2                                    3                                    2                                    3                                    2                                    2                                    2                             2                                    2                                    5                                    4                                    5                                    4                                    2                                    2                                    3                                    2                                  
# contigs (>= 1000 bp)      2                                    2                                    2                                    3                                    2                                    3                                    2                                    5                                    2                                    3                                    2                                    3                                    2                                    2                                    2                             2                                    2                                    5                                    4                                    5                                    4                                    2                                    2                                    3                                    2                                  
# contigs (>= 5000 bp)      2                                    2                                    2                                    3                                    2                                    3                                    2                                    5                                    2                                    3                                    2                                    3                                    2                                    2                                    2                             2                                    2                                    5                                    4                                    5                                    4                                    2                                    2                                    3                                    2                                  
# contigs (>= 10000 bp)     2                                    2                                    2                                    3                                    2                                    3                                    2                                    4                                    2                                    3                                    2                                    3                                    2                                    2                                    2                             2                                    2                                    5                                    4                                    5                                    4                                    2                                    2                                    3                                    2                                  
# contigs (>= 25000 bp)     2                                    2                                    2                                    3                                    2                                    3                                    2                                    4                                    2                                    3                                    2                                    3                                    2                                    2                                    2                             2                                    2                                    4                                    4                                    4                                    4                                    2                                    2                                    3                                    2                                  
# contigs (>= 50000 bp)     2                                    2                                    2                                    3                                    2                                    3                                    2                                    4                                    2                                    3                                    2                                    3                                    2                                    2                                    2                             2                                    2                                    4                                    3                                    4                                    4                                    2                                    2                                    3                                    2                                  
Total length (>= 0 bp)      5149217                              5038168                              5094100                              5171661                              5152461                              5289960                              5257288                              5443401                              5015214                              5339691                              5045560                              5389211                              5173292                              5257294                              5249405                       5165709                              5203326                              5444136                              5404824                              5441285                              5580188                              5188238                              5173301                              5396107                              5168640                            
Total length (>= 1000 bp)   5149217                              5038168                              5094100                              5171661                              5152461                              5289960                              5257288                              5443401                              5015214                              5339691                              5045560                              5389211                              5173292                              5257294                              5249405                       5165709                              5203326                              5444136                              5404824                              5441285                              5580188                              5188238                              5173301                              5396107                              5168640                            
Total length (>= 5000 bp)   5149217                              5038168                              5094100                              5171661                              5152461                              5289960                              5257288                              5443401                              5015214                              5339691                              5045560                              5389211                              5173292                              5257294                              5249405                       5165709                              5203326                              5444136                              5404824                              5441285                              5580188                              5188238                              5173301                              5396107                              5168640                            
Total length (>= 10000 bp)  5149217                              5038168                              5094100                              5171661                              5152461                              5289960                              5257288                              5435759                              5015214                              5339691                              5045560                              5389211                              5173292                              5257294                              5249405                       5165709                              5203326                              5444136                              5404824                              5441285                              5580188                              5188238                              5173301                              5396107                              5168640                            
Total length (>= 25000 bp)  5149217                              5038168                              5094100                              5171661                              5152461                              5289960                              5257288                              5435759                              5015214                              5339691                              5045560                              5389211                              5173292                              5257294                              5249405                       5165709                              5203326                              5424919                              5404824                              5422068                              5580188                              5188238                              5173301                              5396107                              5168640                            
Total length (>= 50000 bp)  5149217                              5038168                              5094100                              5171661                              5152461                              5289960                              5257288                              5435759                              5015214                              5339691                              5045560                              5389211                              5173292                              5257294                              5249405                       5165709                              5203326                              5424919                              5366216                              5422068                              5580188                              5188238                              5173301                              5396107                              5168640                            
# contigs                   2                                    2                                    2                                    3                                    2                                    3                                    2                                    5                                    2                                    3                                    2                                    3                                    2                                    2                                    2                             2                                    2                                    5                                    4                                    5                                    4                                    2                                    2                                    3                                    2                                  
Largest contig              3316147                              3266132                              3376731                              3348850                              3286802                              3241330                              3369172                              3416467                              3253462                              3358191                              3273522                              3446010                              3295711                              3369175                              3468665                       3332265                              3445421                              3477001                              3394092                              3477006                              3567562                              3402675                              3318228                              3508313                              3291121                            
Total length                5149217                              5038168                              5094100                              5171661                              5152461                              5289960                              5257288                              5443401                              5015214                              5339691                              5045560                              5389211                              5173292                              5257294                              5249405                       5165709                              5203326                              5444136                              5404824                              5441285                              5580188                              5188238                              5173301                              5396107                              5168640                            
GC (%)                      45.33                                45.42                                45.37                                45.48                                45.33                                45.32                                45.29                                45.23                                45.44                                45.25                                45.43                                45.30                                45.39                                45.29                                45.19                         45.33                                45.39                                45.27                                45.33                                45.27                                45.34                                45.30                                45.29                                45.24                                45.38                              
N50                         3316147                              3266132                              3376731                              3348850                              3286802                              3241330                              3369172                              3416467                              3253462                              3358191                              3273522                              3446010                              3295711                              3369175                              3468665                       3332265                              3445421                              3477001                              3394092                              3477006                              3567562                              3402675                              3318228                              3508313                              3291121                            
N90                         1833070                              1772036                              1717369                              1758762                              1865659                              1997247                              1888116                              1843316                              1761752                              1879955                              1772038                              1874154                              1877581                              1888119                              1780740                       1833444                              1757905                              1818040                              1902897                              1818054                              1863898                              1785563                              1855073                              1781565                              1877519                            
auN                         2788186.3                            2740625.1                            2817311.9                            2767417.0                            2772219.1                            2740636.2                            2837261.7                            2771363.6                            2729451.8                            2775814.0                            2746189.7                            2856114.9                            2781018.6                            2837264.5                            2896075.2                     2800294.6                            2875306.3                            2829427.9                            2802526.1                            2830849.1                            2905405.4                            2846136.3                            2793561.2                            2871240.1                            2777627.2                          
L50                         1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                             1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                    1                                  
L90                         2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                             2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                    2                                  
# N's per 100 kbp           0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                          0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                                 0.00                               
