file                                                                       format  type  num_seqs    sum_len    min_len      avg_len    max_len
data/Genome_NCBI/V_vulnificus/GCF_000746665.1_ASM74666v1_genomic.fna       FASTA   DNA          3  5,127,345      5,719    1,709,115  3,315,989
data/Genome_NCBI/V_vulnificus/GCF_001433435.1_ASM143343v1_genomic.fna      FASTA   DNA          2  5,060,705  1,837,943  2,530,352.5  3,222,762
data/Genome_NCBI/V_vulnificus/GCF_001558515.2_ASM155851v2_genomic.fna      FASTA   DNA          2  4,978,797  1,742,359  2,489,398.5  3,236,438
data/Genome_NCBI/V_vulnificus/GCF_001653775.1_ASM165377v1_genomic.fna      FASTA   DNA          2  5,072,369  1,837,945  2,536,184.5  3,234,424
data/Genome_NCBI/V_vulnificus/GCF_001675245.1_ASM167524v1_genomic.fna      FASTA   DNA          3  5,229,231     70,069    1,743,077  3,253,417
data/Genome_NCBI/V_vulnificus/GCF_002117205.1_ASM211720v1_genomic.fna      FASTA   DNA          3  6,067,960    925,374  2,022,653.3  3,260,504
data/Genome_NCBI/V_vulnificus/GCF_002204915.1_ASM220491v1_genomic.fna      FASTA   DNA          3  5,117,890     40,850  1,705,963.3  3,224,939
data/Genome_NCBI/V_vulnificus/GCF_002215135.1_ASM221513v1_genomic.fna      FASTA   DNA          3  5,163,135     68,446    1,721,045  3,394,464
data/Genome_NCBI/V_vulnificus/GCF_002850455.1_ASM285045v1_genomic.fna      FASTA   DNA          2  5,074,562  1,770,972    2,537,281  3,303,590
data/Genome_NCBI/V_vulnificus/GCF_002863725.1_ASM286372v1_genomic.fna      FASTA   DNA          3  5,120,766     32,592    1,706,922  3,311,092
data/Genome_NCBI/V_vulnificus/GCF_003522555.1_ASM352255v1_genomic.fna      FASTA   DNA          3  6,019,009    889,062  2,006,336.3  3,264,901
data/Genome_NCBI/V_vulnificus/GCF_004319645.1_ASM431964v1_genomic.fna      FASTA   DNA          2  5,018,260  1,800,582    2,509,130  3,217,678
data/Genome_NCBI/V_vulnificus/GCF_008693685.1_ASM869368v1_genomic.fna      FASTA   DNA          2  4,974,815  1,725,462  2,487,407.5  3,249,353
data/Genome_NCBI/V_vulnificus/GCF_009665475.1_ASM966547v1_genomic.fna      FASTA   DNA          2  5,079,985  1,785,202  2,539,992.5  3,294,783
data/Genome_NCBI/V_vulnificus/GCF_009764095.1_ASM976409v1_genomic.fna      FASTA   DNA          2  4,996,741  1,771,136  2,498,370.5  3,225,605
data/Genome_NCBI/V_vulnificus/GCF_009764115.1_ASM976411v1_genomic.fna      FASTA   DNA          2  5,226,423  1,753,756  2,613,211.5  3,472,667
data/Genome_NCBI/V_vulnificus/GCF_014107515.1_ASM1410751v1_genomic.fna     FASTA   DNA          3  5,356,494     65,566    1,785,498  3,400,045
data/Genome_NCBI/V_vulnificus/GCF_014211935.1_ASM1421193v1_genomic.fna     FASTA   DNA          2  5,032,819  1,772,589  2,516,409.5  3,260,230
data/Genome_NCBI/V_vulnificus/GCF_025994915.1_ASM2599491v1_genomic.fna     FASTA   DNA          3  5,385,758    322,993  1,795,252.7  3,292,876
data/Genome_NCBI/V_vulnificus/GCF_029990625.1_ASM2999062v1_genomic.fna     FASTA   DNA          2  5,018,425  1,744,725  2,509,212.5  3,273,700
data/Genome_NCBI/V_vulnificus/GCF_030220165.1_ASM3022016v1_genomic.fna     FASTA   DNA          2  5,080,799  1,816,653  2,540,399.5  3,264,146
data/Genome_NCBI/V_vulnificus/GCF_031883075.1_ASM3188307v1_genomic.fna     FASTA   DNA          5  5,239,895     57,569    1,047,979  3,216,867
data/Genome_NCBI/V_vulnificus/GCF_045348105.1_ASM4534810v1_genomic.fna     FASTA   DNA          2  5,113,765  1,811,041  2,556,882.5  3,302,724
data/Genome_NCBI/V_vulnificus/GCF_046532655.1_ASM4653265v1_genomic.fna     FASTA   DNA          2  5,046,534  1,788,860    2,523,267  3,257,674
data/Genome_NCBI/V_vulnificus/GCF_046581405.1_NHRI_VV7356_1.0_genomic.fna  FASTA   DNA          5  5,323,145      4,004    1,064,629  5,193,938
