file                                                                         format  type  num_seqs    sum_len    min_len      avg_len    max_len
data/Genome_NCBI/V_parahaemolyticus/GCF_001188185.2_ASM118818v2_genomic.fna  FASTA   DNA          2  5,149,217  1,833,070  2,574,608.5  3,316,147
data/Genome_NCBI/V_parahaemolyticus/GCF_001244315.1_ASM124431v1_genomic.fna  FASTA   DNA          2  5,038,168  1,772,036    2,519,084  3,266,132
data/Genome_NCBI/V_parahaemolyticus/GCF_001304775.1_ASM130477v1_genomic.fna  FASTA   DNA          2  5,094,100  1,717,369    2,547,050  3,376,731
data/Genome_NCBI/V_parahaemolyticus/GCF_001433415.1_ASM143341v1_genomic.fna  FASTA   DNA          3  5,171,661     64,049    1,723,887  3,348,850
data/Genome_NCBI/V_parahaemolyticus/GCF_001558495.2_ASM155849v2_genomic.fna  FASTA   DNA          2  5,152,461  1,865,659  2,576,230.5  3,286,802
data/Genome_NCBI/V_parahaemolyticus/GCF_001636035.1_ASM163603v1_genomic.fna  FASTA   DNA          3  5,289,960     51,383    1,763,320  3,241,330
data/Genome_NCBI/V_parahaemolyticus/GCF_001682175.1_ASM168217v1_genomic.fna  FASTA   DNA          2  5,257,288  1,888,116    2,628,644  3,369,172
data/Genome_NCBI/V_parahaemolyticus/GCF_001700835.1_ASM170083v1_genomic.fna  FASTA   DNA          5  5,443,401      7,642  1,088,680.2  3,416,467
data/Genome_NCBI/V_parahaemolyticus/GCF_001758605.1_ASM175860v1_genomic.fna  FASTA   DNA          2  5,015,214  1,761,752    2,507,607  3,253,462
data/Genome_NCBI/V_parahaemolyticus/GCF_001879585.1_ASM187958v1_genomic.fna  FASTA   DNA          3  5,339,691    101,545    1,779,897  3,358,191
data/Genome_NCBI/V_parahaemolyticus/GCF_001887055.1_ASM188705v1_genomic.fna  FASTA   DNA          2  5,045,560  1,772,038    2,522,780  3,273,522
data/Genome_NCBI/V_parahaemolyticus/GCF_001996365.2_ASM199636v2_genomic.fna  FASTA   DNA          3  5,389,211     69,047  1,796,403.7  3,446,010
data/Genome_NCBI/V_parahaemolyticus/GCF_002073775.2_ASM207377v2_genomic.fna  FASTA   DNA          2  5,173,292  1,877,581    2,586,646  3,295,711
data/Genome_NCBI/V_parahaemolyticus/GCF_002209725.2_ASM220972v2_genomic.fna  FASTA   DNA          2  5,257,294  1,888,119    2,628,647  3,369,175
data/Genome_NCBI/V_parahaemolyticus/GCF_002220985.3_HGAP_genomic.fna         FASTA   DNA          2  5,249,405  1,780,740  2,624,702.5  3,468,665
data/Genome_NCBI/V_parahaemolyticus/GCF_002290245.2_ASM229024v2_genomic.fna  FASTA   DNA          2  5,165,709  1,833,444  2,582,854.5  3,332,265
data/Genome_NCBI/V_parahaemolyticus/GCF_003047085.1_ASM304708v1_genomic.fna  FASTA   DNA          2  5,203,326  1,757,905    2,601,663  3,445,421
data/Genome_NCBI/V_parahaemolyticus/GCF_003076895.1_ASM307689v1_genomic.fna  FASTA   DNA          5  5,444,136     19,217  1,088,827.2  3,477,001
data/Genome_NCBI/V_parahaemolyticus/GCF_003085735.1_ASM308573v1_genomic.fna  FASTA   DNA          4  5,404,824     38,608    1,351,206  3,394,092
data/Genome_NCBI/V_parahaemolyticus/GCF_003119375.1_ASM311937v1_genomic.fna  FASTA   DNA          5  5,441,285     19,217    1,088,257  3,477,006
data/Genome_NCBI/V_parahaemolyticus/GCF_003351885.1_ASM335188v1_genomic.fna  FASTA   DNA          4  5,580,188     70,247    1,395,047  3,567,562
data/Genome_NCBI/V_parahaemolyticus/GCF_003612695.1_ASM361269v1_genomic.fna  FASTA   DNA          2  5,188,238  1,785,563    2,594,119  3,402,675
data/Genome_NCBI/V_parahaemolyticus/GCF_003612715.1_ASM361271v1_genomic.fna  FASTA   DNA          2  5,173,301  1,855,073  2,586,650.5  3,318,228
data/Genome_NCBI/V_parahaemolyticus/GCF_003691525.1_ASM369152v1_genomic.fna  FASTA   DNA          3  5,396,107    106,229  1,798,702.3  3,508,313
data/Genome_NCBI/V_parahaemolyticus/GCF_004006515.1_ASM400651v1_genomic.fna  FASTA   DNA          2  5,168,640  1,877,519    2,584,320  3,291,121
