file                                                                 format  type  num_seqs    sum_len    min_len      avg_len    max_len
data/Genome_NCBI/V_cholerae/GCF_000765415.1_ASM76541v1_genomic.fna   FASTA   DNA          3  4,258,023    167,267    1,419,341  3,043,139
data/Genome_NCBI/V_cholerae/GCF_000788715.2_ASM78871v2_genomic.fna   FASTA   DNA          2  4,061,813  1,124,711  2,030,906.5  2,937,102
data/Genome_NCBI/V_cholerae/GCF_000969235.1_ASM96923v1_genomic.fna   FASTA   DNA          1  3,928,357  3,928,357    3,928,357  3,928,357
data/Genome_NCBI/V_cholerae/GCF_000969265.1_ASM96926v1_genomic.fna   FASTA   DNA          1  4,077,462  4,077,462    4,077,462  4,077,462
data/Genome_NCBI/V_cholerae/GCF_001045415.1_ASM104541v1_genomic.fna  FASTA   DNA          3  5,000,494    896,006  1,666,831.3  3,053,204
data/Genome_NCBI/V_cholerae/GCF_001250235.2_5174_7_8_v2_genomic.fna  FASTA   DNA          2  4,033,501  1,072,319  2,016,750.5  2,961,182
data/Genome_NCBI/V_cholerae/GCF_001854425.1_ASM185442v1_genomic.fna  FASTA   DNA          2  4,050,927  1,125,906  2,025,463.5  2,925,021
data/Genome_NCBI/V_cholerae/GCF_001887395.1_ASM188739v1_genomic.fna  FASTA   DNA          2  4,102,038  1,105,843    2,051,019  2,996,195
data/Genome_NCBI/V_cholerae/GCF_001887415.1_ASM188741v1_genomic.fna  FASTA   DNA          2  4,110,440  1,158,995    2,055,220  2,951,445
data/Genome_NCBI/V_cholerae/GCF_001887435.1_ASM188743v1_genomic.fna  FASTA   DNA          2  4,057,520  1,064,265    2,028,760  2,993,255
data/Genome_NCBI/V_cholerae/GCF_001887455.1_ASM188745v1_genomic.fna  FASTA   DNA          2  4,099,119  1,100,107  2,049,559.5  2,999,012
data/Genome_NCBI/V_cholerae/GCF_001887475.1_ASM188747v1_genomic.fna  FASTA   DNA          2  4,062,508  1,092,607    2,031,254  2,969,901
data/Genome_NCBI/V_cholerae/GCF_001887495.1_ASM188749v1_genomic.fna  FASTA   DNA          2  4,110,872  1,114,337    2,055,436  2,996,535
data/Genome_NCBI/V_cholerae/GCF_001887515.1_ASM188751v1_genomic.fna  FASTA   DNA          2  4,170,245  1,188,831  2,085,122.5  2,981,414
data/Genome_NCBI/V_cholerae/GCF_001887615.1_ASM188761v1_genomic.fna  FASTA   DNA          2  4,076,583  1,068,097  2,038,291.5  3,008,486
data/Genome_NCBI/V_cholerae/GCF_001887635.1_ASM188763v1_genomic.fna  FASTA   DNA          2  4,014,863  1,075,375  2,007,431.5  2,939,488
data/Genome_NCBI/V_cholerae/GCF_001887655.1_ASM188765v1_genomic.fna  FASTA   DNA          2  4,066,727  1,105,026  2,033,363.5  2,961,701
data/Genome_NCBI/V_cholerae/GCF_002073335.2_ASM207333v2_genomic.fna  FASTA   DNA          2  4,042,269  1,072,312  2,021,134.5  2,969,957
data/Genome_NCBI/V_cholerae/GCF_002313005.1_ASM231300v1_genomic.fna  FASTA   DNA          3  4,264,715    180,116  1,421,571.7  3,026,998
data/Genome_NCBI/V_cholerae/GCF_002313025.1_ASM231302v1_genomic.fna  FASTA   DNA          2  4,095,733  1,067,461  2,047,866.5  3,028,272
data/Genome_NCBI/V_cholerae/GCF_002749635.1_ASM274963v1_genomic.fna  FASTA   DNA          2  4,063,073  1,070,502  2,031,536.5  2,992,571
data/Genome_NCBI/V_cholerae/GCF_002892855.1_ASM289285v1_genomic.fna  FASTA   DNA          2  4,085,463  1,070,371  2,042,731.5  3,015,092
data/Genome_NCBI/V_cholerae/GCF_002997215.1_ASM299721v1_genomic.fna  FASTA   DNA          2  4,085,460  1,070,367    2,042,730  3,015,093
data/Genome_NCBI/V_cholerae/GCF_003063785.1_ASM306378v1_genomic.fna  FASTA   DNA          2  4,047,835  1,072,331  2,023,917.5  2,975,504
data/Genome_NCBI/V_cholerae/GCF_008369605.1_ASM836960v1_genomic.fna  FASTA   DNA          3  4,138,412     49,113  1,379,470.7  2,948,589
